Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-09-14T15:47:41.062Z","Included","auto","No","39538","0","287728","4403","331669","0.13"
"2025-09-14T15:13:52.873Z","Included","auto","No","1224","0","39711","199","41134","0.01"
"2025-09-14T15:13:31.792Z","Included","auto","No","9791","0","28778","174","38743","0.02"
"2025-09-14T15:12:55.772Z","Included","auto","No","1901","0","99524","534","101959","0.03"
"2025-09-14T15:12:35.235Z","Included","auto","No","6059","0","40245","234","46538","0.02"
"2025-09-14T15:11:50.032Z","Included","auto","No","1571","0","100021","390","101982","0.03"
"2025-09-14T15:11:31.156Z","Included","auto","No","1373","0","46535","303","48211","0.01"
"2025-09-14T15:11:17.292Z","Included","auto","No","4043","0","41440","111","45594","0.01"
"2025-09-14T15:10:47.176Z","Included","auto","No","1972","0","35318","171","37461","0.01"
"2025-09-14T15:10:18.775Z","Included","auto","No","7991","0","60165","626","68782","0.03"
"2025-09-14T15:02:32.633Z","Included","auto","No","1336","0","29095","250","30681","0.01"
"2025-09-14T15:01:43.018Z","Included","auto","No","6859","0","20780","349","27988","0.01"
"2025-09-14T14:16:38.828Z","Included","auto","No","27913","0","311972","3390","343275","0.12"
"2025-09-14T14:13:45.304Z","Included","auto","No","40251","0","865149","5734","911134","0.28"
"2025-09-14T14:07:37.794Z","Included","auto","No","22860","0","201477","3692","228029","0.09"
"2025-09-14T14:06:53.651Z","Included","auto","No","35615","0","375497","4879","415991","0.15"
"2025-09-14T14:06:10.974Z","Included","auto","No","30254","0","271760","4334","306348","0.12"
"2025-09-14T14:05:23.611Z","Included","auto","No","8078","0","9193","274","17545","0.01"
"2025-09-14T14:02:30.958Z","Included","auto","No","5045","0","50116","450","55611","0.02"
"2025-09-14T13:59:05.556Z","Included","auto","No","27201","0","110278","3169","140648","0.07"
"2025-09-14T13:55:52.714Z","Included","auto","No","33829","0","487949","6361","528139","0.18"
"2025-09-14T13:54:59.923Z","Included","auto","No","50696","0","897580","5457","953733","0.30"
"2025-09-14T13:53:51.178Z","Included","auto","No","39565","0","507985","5171","552721","0.19"
"2025-09-14T13:17:53.895Z","Included","auto","No","79579","0","2171518","8393","2259490","0.66"
"2025-09-14T12:58:23.260Z","Included","auto","No","75088","0","1663056","8424","1746568","0.52"
"2025-09-14T11:00:45.469Z","Included","auto","No","22725","0","214776","4034","241535","0.09"
"2025-09-14T10:55:16.165Z","Included","auto","No","7037","0","143474","386","150897","0.04"
"2025-09-14T10:53:23.090Z","Included","auto","No","37244","0","94765","404","132413","0.06"
"2025-09-14T10:48:16.476Z","Included","auto","No","0","7058","0","14","7072","0.01"
"2025-09-14T10:27:38.290Z","Included","auto","No","12091","0","19385","4458","35934","0.03"
"2025-09-14T10:00:18.287Z","Included","auto","No","3080","0","73848","672","77600","0.02"
"2025-09-14T09:57:10.380Z","Included","auto","No","27933","0","746901","5034","779868","0.23"
"2025-09-14T09:53:30.612Z","Included","auto","No","1614","0","170146","725","172485","0.05"
"2025-09-14T09:50:14.932Z","Included","auto","No","5285","0","47505","360","53150","0.02"
"2025-09-14T09:49:31.884Z","Included","auto","No","2523","0","143977","2035","148535","0.05"
"2025-09-14T09:46:57.627Z","Included","auto","No","12731","0","101028","1020","114779","0.04"
"2025-09-14T09:14:34.953Z","Included","auto","No","3515","0","533014","1312","537841","0.14"
"2025-09-14T09:11:53.216Z","Included","auto","No","10975","0","506655","4314","521944","0.15"
"2025-09-14T09:07:58.356Z","Included","auto","No","14609","0","92289","385","107283","0.04"
"2025-09-14T09:05:04.707Z","Included","auto","No","23419","0","925100","5066","953585","0.27"
"2025-09-14T09:01:14.834Z","Included","auto","No","21818","0","516647","4648","543113","0.17"
"2025-09-13T15:31:22.188Z","Included","auto","No","40861","0","624770","9717","675348","0.24"
"2025-09-13T15:24:51.073Z","Included","auto","No","25460","0","2357190","4944","2387594","0.63"
"2025-09-13T15:17:03.920Z","Included","auto","No","58930","0","1754634","15506","1829070","0.56"
"2025-09-13T15:02:17.798Z","Included","auto","No","39221","0","819110","4378","862709","0.26"
"2025-09-13T14:35:10.825Z","Included","auto","No","3370","0","27239","674","31283","0.01"
"2025-09-13T13:57:41.184Z","Included","auto","No","0","1574","0","139","1713","0.004"
"2025-09-13T12:48:23.232Z","Included","auto","No","63911","0","1190906","21857","1276674","0.45"
"2025-09-13T12:43:42.412Z","Included","auto","No","26563","0","209906","4374","240843","0.10"
"2025-09-13T12:41:45.532Z","Included","auto","No","18557","0","272436","4157","295150","0.10"
"2025-09-13T12:39:14.812Z","Included","auto","No","3069","0","291433","1193","295695","0.08"
