Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-05-31T15:36:15.554Z","","","Included","auto","No","0","38990","345189","8378","392557","Included"
"2026-05-31T15:33:26.362Z","","","Included","auto","No","0","33410","383893","7095","424398","Included"
"2026-05-31T15:32:05.595Z","","","Included","auto","No","0","25030","194394","4220","223644","Included"
"2026-05-31T15:26:23.588Z","","","Included","auto","No","0","21497","299008","5668","326173","Included"
"2026-05-31T15:15:38.035Z","","","Included","auto","No","0","70622","1199840","20106","1290568","Included"
"2026-05-31T15:10:34.512Z","","","Included","auto","No","0","35854","522464","13487","571805","Included"
"2026-05-31T15:00:23.673Z","","","Included","auto","No","0","79500","392672","5210","477382","Included"
"2026-05-31T14:47:07.795Z","","","Included","auto","No","0","21944","1231200","7146","1260290","Included"
"2026-05-31T14:44:02.554Z","","","Included","auto","No","0","42927","797792","14967","855686","Included"
"2026-05-31T14:29:19.737Z","","","Included","auto","No","0","27184","238346","4923","270453","Included"
"2026-05-31T14:20:01.941Z","","","Included","auto","No","0","34896","475840","9671","520407","Included"
"2026-05-30T15:26:09.227Z","","","Included","auto","No","0","11302","512960","3081","527343","Included"
"2026-05-30T15:24:18.972Z","","","Included","auto","No","0","12639","668704","2647","683990","Included"
"2026-05-30T15:22:28.552Z","","","Included","auto","No","0","7081","348640","3060","358781","Included"
"2026-05-30T15:18:41.635Z","","","Included","auto","No","0","9060","171904","5795","186759","Included"
"2026-05-30T15:12:54.232Z","","","Included","auto","No","0","24720","245216","7768","277704","Included"
"2026-05-30T15:05:44.761Z","","","Included","auto","No","0","13925","74461","1989","90375","Included"
"2026-05-30T15:03:18.798Z","","","Included","auto","No","","","","","","Free"
"2026-05-30T15:02:58.232Z","","","Included","auto","No","","","","","","Free"
"2026-05-30T15:00:37.069Z","","","Included","auto","No","0","3927","82872","862","87661","Included"
"2026-05-30T14:58:41.630Z","","","Included","auto","No","0","12979","107823","1492","122294","Included"
"2026-05-30T14:53:03.625Z","","","Included","auto","No","0","5187","529344","2724","537255","Included"
"2026-05-30T14:51:48.878Z","","","Included","auto","No","0","3293","239840","2924","246057","Included"
"2026-05-30T14:49:20.921Z","","","Included","auto","No","0","8557","557984","8551","575092","Included"
"2026-05-30T14:46:55.678Z","","","Included","auto","No","0","26549","235008","12240","273797","Included"
"2026-05-30T14:36:26.421Z","","","Included","auto","No","0","2078","140864","823","143765","Included"
"2026-05-30T14:34:01.326Z","","","Included","auto","No","0","5060","216224","2803","224087","Included"
"2026-05-30T14:30:49.576Z","","","Included","auto","No","0","34325","195840","3643","233808","Included"
"2026-05-30T14:19:45.289Z","","","Included","auto","No","0","25079","151129","3010","179218","Included"
"2026-05-30T14:05:26.449Z","","","Included","auto","No","0","14538","95667","4553","114758","Included"
"2026-05-30T13:57:19.143Z","","","Included","auto","No","0","14055","93374","2293","109722","Included"
"2026-05-30T09:45:12.549Z","","","Included","auto","No","0","24127","192299","2849","219275","Included"
"2026-05-29T14:02:21.064Z","","","Included","auto","No","0","10366","236970","6121","253457","Included"
"2026-05-29T13:59:03.659Z","","","Included","auto","No","0","44118","332661","7355","384134","Included"
"2026-05-29T13:54:16.818Z","","","Included","auto","No","0","13681","59432","2705","75818","Included"
"2026-05-29T13:30:19.984Z","","","Included","auto","No","0","17004","399118","8769","424891","Included"
"2026-05-29T13:26:00.789Z","","","Included","auto","No","0","36311","123153","1944","161408","Included"
"2026-05-29T13:14:05.362Z","","","Included","auto","No","0","7956","160530","4604","173090","Included"
"2026-05-29T13:11:55.759Z","","","Included","auto","No","0","23305","84648","3205","111158","Included"
"2026-05-29T12:57:03.652Z","","","Included","auto","No","0","17624","177399","5126","200149","Included"
"2026-05-28T15:05:25.358Z","","","Included","auto","No","0","44735","406746","9875","461356","Included"
"2026-05-28T15:02:49.314Z","","","Included","auto","No","0","29344","163093","7500","199937","Included"
"2026-05-27T15:50:13.296Z","","","Included","auto","No","0","105425","1238400","3724","1347549","Included"
"2026-05-27T15:49:43.207Z","","","Included","auto","No","0","4051","101632","642","106325","Included"
"2026-05-27T15:36:43.520Z","","","Included","auto","No","0","96810","110080","483","207373","Included"
"2026-05-26T16:12:11.748Z","","","Included","auto","No","14378","9","844035","3795","862217","Included"
"2026-05-26T16:02:48.236Z","","","Included","auto","No","113298","60","4872477","26603","5012438","Included"
"2026-05-26T16:00:07.334Z","","","Included","auto","No","56813","6","136056","8236","201111","Included"
"2026-05-26T15:51:17.092Z","","","Included","auto","No","47750","6","51757","3282","102795","Included"
"2026-05-26T15:51:07.770Z","","","Included","auto","No","58889","6","59707","4757","123359","Included"
"2026-05-25T15:30:36.013Z","","","Included","auto","No","8850","7","231996","4248","245101","Included"
"2026-05-25T15:26:00.566Z","","","Included","auto","No","38980","7","99648","6009","144644","Included"
"2026-05-25T15:25:49.833Z","","","Included","auto","No","18959","13","349920","5848","374740","Included"
"2026-05-25T15:21:24.130Z","","","Included","auto","No","24451","6","71948","464","96869","Included"
