Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-09-20T15:12:23.035Z","","","Included","auto","No","0","195797","210432","373","406602","Included"
"2026-09-20T14:35:58.934Z","","","Included","auto","No","0","43395","3588480","18284","3650159","Included"
"2026-09-20T14:15:23.175Z","","","Included","auto","No","0","280624","5189760","37856","5508240","Included"
"2026-09-20T14:11:22.122Z","","","Included","auto","No","0","56156","407680","8345","472181","Included"
"2026-09-20T14:11:21.110Z","","","Included","auto","No","0","85205","133888","4648","223741","Included"
"2026-09-20T14:11:08.332Z","","","Included","auto","No","0","41517","168192","3876","213585","Included"
"2026-09-19T02:51:49.109Z","","","Included","auto","No","0","35323","30336","518","66177","Included"
"2026-09-19T02:49:35.220Z","","","Included","auto","No","0","11350","44672","2185","58207","Included"
"2026-09-17T15:22:14.271Z","","","Included","auto","No","0","107846","239104","406","347356","Included"
"2026-09-17T15:05:31.626Z","","","Included","auto","No","0","166220","2733696","31824","2931740","Included"
"2026-09-17T15:00:30.534Z","","","Included","auto","No","0","52444","265216","4802","322462","Included"
"2026-09-17T15:00:30.318Z","","","Included","auto","No","0","48494","128640","3479","180613","Included"
"2026-09-17T15:00:18.803Z","","","Included","auto","No","0","28543","204672","4838","238053","Included"
"2026-09-17T14:56:09.714Z","","","Included","auto","No","0","160914","160640","369","321923","Included"
"2026-09-17T14:50:05.388Z","","","Included","auto","No","0","5325","313984","303","319612","Included"
"2026-09-17T14:26:00.416Z","","","Included","auto","No","0","271020","6416256","45860","6733136","Included"
"2026-09-17T14:23:40.078Z","","","Included","auto","No","0","11682","165248","3391","180321","Included"
"2026-09-17T14:19:03.626Z","","","Included","auto","No","0","76631","366720","5907","449258","Included"
"2026-09-17T14:18:48.802Z","","","Included","auto","No","0","37278","161664","2903","201845","Included"
"2026-09-17T14:01:50.955Z","","","Included","auto","No","0","34038","29568","495","64101","Included"
"2026-09-17T14:00:00.703Z","","","Included","auto","No","0","19731","28288","550","48569","Included"
"2026-09-15T15:34:13.963Z","","","Included","auto","No","0","189376","189312","414","379102","Included"
"2026-09-15T15:19:58.330Z","","","Included","auto","No","0","33121","3174656","11640","3219417","Included"
"2026-09-15T14:46:22.398Z","","","Included","auto","No","0","581561","6020352","47740","6649653","Included"
"2026-09-15T14:42:23.739Z","","","Included","auto","No","0","63092","63616","362","127070","Included"
"2026-09-15T14:38:21.994Z","","","Included","auto","No","0","103172","996736","6706","1106614","Included"
"2026-09-15T14:26:26.542Z","","","Included","auto","No","0","216836","230528","438","447802","Included"
