Date,User,Kind,Max Mode,Model,Tokens,Cost ($)
"2025-08-29T15:39:20.571Z","You","Included in Pro","No","auto",2747,"Included"
"2025-08-29T15:39:11.783Z","You","Included in Pro","No","auto",2720,"Included"
"2025-08-29T15:24:40.212Z","You","Included in Pro","No","auto",70258,"Included"
"2025-08-29T14:38:15.695Z","You","Included in Pro","No","auto",30559,"Included"
"2025-08-29T14:36:39.355Z","You","Included in Pro","No","auto",40647,"Included"
"2025-08-29T14:35:22.109Z","You","Included in Pro","No","auto",2978,"Included"
"2025-08-29T14:32:48.367Z","You","Included in Pro","No","auto",2976,"Included"
"2025-08-29T14:07:10.198Z","You","Included in Pro","No","auto",3145,"Included"
"2025-08-29T14:06:40.319Z","You","Included in Pro","No","auto",2955,"Included"
"2025-08-29T13:14:15.924Z","You","Included in Pro","No","auto",20100,"Included"
"2025-08-29T09:25:11.199Z","You","Included in Pro","No","auto",111771,"Included"
"2025-08-29T09:23:50.776Z","You","Included in Pro","No","auto",42707,"Included"
"2025-08-28T14:53:09.463Z","You","Included in Pro","No","auto",16402,"Included"
"2025-08-28T14:52:25.008Z","You","Included in Pro","No","auto",21912,"Included"
"2025-08-28T14:40:36.896Z","You","Included in Pro","No","auto",4928,"Included"
"2025-08-28T12:50:23.733Z","You","Included in Pro","No","auto",47672,"Included"
"2025-08-28T12:37:18.609Z","You","Included in Pro","No","auto",44898,"Included"
"2025-08-28T12:35:23.764Z","You","Included in Pro","No","auto",112978,"Included"
"2025-08-28T12:33:42.459Z","You","Included in Pro","No","auto",28897,"Included"
"2025-08-28T11:47:55.428Z","You","Included in Pro","No","auto",1699,"Included"
"2025-08-28T11:46:58.548Z","You","Included in Pro","No","auto",3690,"Included"
"2025-08-28T11:40:28.477Z","You","Included in Pro","No","auto",509656,"Included"
"2025-08-28T11:40:17.809Z","You","Included in Pro","No","auto",3991,"Included"
"2025-08-28T11:37:56.925Z","You","Included in Pro","No","auto",90565,"Included"
"2025-08-28T11:31:09.360Z","You","Included in Pro","No","auto",106238,"Included"
"2025-08-28T11:29:41.135Z","You","Included in Pro","No","auto",5770,"Included"
"2025-08-28T11:29:00.928Z","You","Included in Pro","No","auto",11572,"Included"
"2025-08-28T11:28:14.724Z","You","Included in Pro","No","auto",5973,"Included"
"2025-08-28T11:28:07.848Z","You","Included in Pro","No","auto",5863,"Included"
"2025-08-28T11:26:33.988Z","You","Included in Pro","No","auto",5577,"Included"
"2025-08-28T11:25:26.856Z","You","Included in Pro","No","auto",690,"Included"
