Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-07-17T14:40:18.369Z","","","Included","auto","No","0","9902","447872","5667","463441","Included"
"2026-07-17T14:31:40.150Z","","","Included","auto","No","0","105959","2480896","29025","2615880","Included"
"2026-07-17T14:29:21.396Z","","","Included","auto","No","0","69092","274304","4856","348252","Included"
"2026-07-17T14:29:20.963Z","","","Included","auto","No","0","81683","384640","5600","471923","Included"
"2026-07-17T14:29:13.083Z","","","Included","auto","No","0","44338","255104","6567","306009","Included"
"2026-07-16T14:59:09.053Z","","","Included","auto","No","0","70050","139008","673","209731","Included"
"2026-07-16T14:53:36.657Z","","","Included","auto","No","0","17344","551040","6372","574756","Included"
"2026-07-16T14:46:15.757Z","","","Included","auto","No","0","52374","247040","3466","302880","Included"
"2026-07-16T14:39:16.147Z","","","Included","auto","No","0","67655","723712","7777","799144","Included"
"2026-07-16T14:39:15.931Z","","","Included","auto","No","0","32379","143104","2727","178210","Included"
"2026-07-16T14:39:10.113Z","","","Included","auto","No","0","36125","299008","7505","342638","Included"
"2026-07-16T14:33:20.242Z","","","Included","auto","No","0","474","219776","137","220387","Included"
"2026-07-16T14:27:19.266Z","","","Included","auto","No","0","8861","1294208","4938","1308007","Included"
"2026-07-16T14:14:47.825Z","","","Included","auto","No","0","66945","6695424","28373","6790742","Included"
"2026-07-16T14:07:14.760Z","","","Included","auto","No","0","28405","2304512","8551","2341468","Included"
"2026-07-16T14:07:13.273Z","","","Errored, No Charge","auto","No","","","","","","Free"
"2026-07-16T13:54:24.609Z","","","Included","auto","No","0","115363","2930048","36396","3081807","Included"
"2026-07-16T13:51:23.667Z","","","Included","auto","No","0","8650","161792","2246","172688","Included"
"2026-07-16T13:45:29.209Z","","","Included","auto","No","0","70237","536704","7001","613942","Included"
"2026-07-16T13:45:29.209Z","","","Included","auto","No","0","62327","213760","4570","280657","Included"
"2026-07-16T13:45:21.168Z","","","Included","auto","No","0","44767","218368","7086","270221","Included"
"2026-07-15T10:18:53.930Z","","","Included","auto","No","235024","52","3142009","21425","3398510","Included"
"2026-07-15T10:06:07.626Z","","","Included","auto","No","75544","44","1466636","18365","1560589","Included"
"2026-07-15T10:05:49.902Z","","","Included","auto","No","133502","36","1088595","17603","1239736","Included"
"2026-07-15T08:59:20.541Z","","","Included","auto","No","242278","112","10780391","91645","11114426","Included"
"2026-07-15T08:13:55.001Z","","","Included","auto","No","136954","38","1899752","26646","2063390","Included"
"2026-07-15T08:04:09.208Z","","","Included","auto","No","56003","14","348229","26238","430484","Included"
"2026-07-15T08:04:03.175Z","","","Included","auto","No","31579","12","246791","18840","297222","Included"
"2026-07-15T08:03:54.304Z","","","Included","auto","No","24688","16","284006","9826","318536","Included"
"2026-07-15T08:01:37.114Z","","","Included","auto","No","86935","16","333049","10212","430212","Included"
