Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-07-11T10:20:51.071Z","","","Included","auto","No","0","50143","366560","5448","422151","Included"
"2026-07-11T10:15:01.500Z","","","Included","auto","No","0","131533","84192","1043","216768","Included"
"2026-07-11T10:11:11.720Z","","","Included","auto","No","0","56501","1085984","7896","1150381","Included"
"2026-07-11T10:08:36.026Z","","","Included","auto","No","0","55134","505798","7171","568103","Included"
"2026-07-11T10:08:32.434Z","","","Included","auto","No","0","74832","381824","6566","463222","Included"
"2026-07-10T15:35:44.897Z","","","Included","auto","No","0","118793","262720","729","382242","Included"
"2026-07-10T15:25:19.489Z","","","Included","auto","No","0","117459","2813621","17160","2948240","Included"
"2026-07-10T15:17:59.831Z","","","Included","auto","No","0","55731","457245","13257","526233","Included"
"2026-07-10T15:16:38.180Z","","","Included","auto","No","0","77318","1392915","14278","1484511","Included"
"2026-07-10T15:09:29.265Z","","","Included","auto","No","0","45351","115583","627","161561","Included"
"2026-07-10T15:06:07.521Z","","","Included","auto","No","0","44952","629460","3315","677727","Included"
"2026-07-10T15:00:29.657Z","","","Included","auto","No","0","39604","190700","3592","233896","Included"
"2026-07-10T15:00:28.242Z","","","Included","auto","No","0","72524","391069","7139","470732","Included"
"2026-07-10T15:00:16.104Z","","","Included","auto","No","0","28023","119132","3904","151059","Included"
"2026-07-09T15:14:04.909Z","","","Included","auto","No","0","44206","8516","173","52895","Included"
"2026-07-09T15:12:09.978Z","","","Included","auto","No","0","45439","108064","1641","155144","Included"
"2026-07-09T15:07:19.973Z","","","Included","auto","No","0","40706","704835","6350","751891","Included"
"2026-07-09T14:46:06.161Z","","","Included","auto","No","0","161261","347293","859","509413","Included"
"2026-07-09T14:16:54.752Z","","","Included","auto","No","0","159667","9236870","35219","9431756","Included"
"2026-07-09T14:06:03.895Z","","","Included","auto","No","0","54369","543597","7301","605267","Included"
"2026-07-09T14:05:55.911Z","","","Included","auto","No","0","69697","1675681","14628","1760006","Included"
"2026-07-09T14:02:58.049Z","","","Included","auto","No","0","178374","193024","781","372179","Included"
"2026-07-09T13:49:23.974Z","","","Included","auto","No","0","171875","711726","4096","887697","Included"
"2026-07-09T13:48:08.701Z","","","Included","auto","No","0","4941","344576","388","349905","Included"
"2026-07-09T13:46:24.195Z","","","Included","auto","No","0","164550","865920","1671","1032141","Included"
"2026-07-09T13:37:10.049Z","","","Included","auto","No","0","147715","7315328","20112","7483155","Included"
"2026-07-09T13:12:55.884Z","","","Included","auto","No","0","13087","206080","3609","222776","Included"
"2026-07-09T13:11:37.946Z","","","Included","auto","No","0","12593","94208","1036","107837","Included"
"2026-07-09T13:07:19.736Z","","","Included","auto","No","0","24315","61824","1914","88053","Included"
"2026-07-09T13:00:39.961Z","","","Included","auto","No","0","15738","92800","1622","110160","Included"
"2026-07-09T12:56:52.268Z","","","Included","auto","No","0","17057","524800","4399","546256","Included"
"2026-07-09T12:53:51.722Z","","","Included","auto","No","0","37062","789888","5378","832328","Included"
"2026-07-09T12:46:33.946Z","","","Included","auto","No","0","37821","349696","3344","390861","Included"
"2026-07-09T12:36:15.285Z","","","Included","auto","No","0","68072","1885696","8847","1962615","Included"
"2026-07-09T12:33:13.729Z","","","Included","auto","No","0","58477","611840","4644","674961","Included"
"2026-07-09T12:09:24.975Z","","","Included","auto","No","0","148501","165504","466","314471","Included"
"2026-07-09T10:44:33.185Z","","","Included","auto","No","0","149436","3235992","14315","3399743","Included"
"2026-07-09T10:38:21.225Z","","","Included","auto","No","0","106743","4180352","10439","4297534","Included"
"2026-07-09T10:34:57.263Z","","","Included","auto","No","0","88142","748544","4209","840895","Included"
"2026-07-09T10:32:25.419Z","","","Included","auto","No","0","16782","80000","2958","99740","Included"
"2026-07-09T10:19:56.080Z","","","Included","auto","No","0","57585","7680","228","65493","Included"
"2026-07-09T10:13:46.046Z","","","Included","auto","No","0","58338","1073280","5853","1137471","Included"
"2026-07-09T10:10:39.977Z","","","Included","auto","No","0","13825","43136","303","57264","Included"
"2026-07-09T10:06:02.112Z","","","Included","auto","No","0","93397","1122304","7826","1223527","Included"
"2026-07-09T10:03:06.862Z","","","Included","auto","No","0","33252","383872","2624","419748","Included"
