Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-09-28T15:54:34.648Z","Included","auto","No","2538","0","30550","346","33434","0.01"
"2025-09-28T15:53:46.040Z","Included","auto","No","774","0","19969","158","20901","0.01"
"2025-09-28T15:52:21.874Z","Included","auto","No","4654","0","29900","433","34987","0.02"
"2025-09-28T15:50:00.899Z","Included","auto","No","2076","0","31488","368","33932","0.01"
"2025-09-28T15:49:47.961Z","Errored, Not Charged","auto","No","611","0","9472","57","10140","0.003"
"2025-09-28T15:37:57.244Z","Included","auto","No","0","6499","0","102","6601","0.01"
"2025-09-28T15:35:14.949Z","Included","auto","No","58582","0","156672","1134","216388","0.12"
"2025-09-28T15:33:51.890Z","Included","auto","No","59828","0","136960","1092","197880","0.12"
"2025-09-28T14:36:25.868Z","Included","auto","No","8871","0","66048","2527","77446","0.04"
"2025-09-28T14:33:50.454Z","Included","auto","No","9624","0","36096","1758","47478","0.03"
"2025-09-28T14:25:52.746Z","Included","auto","No","23407","0","68352","886","92645","0.05"
"2025-09-28T14:24:22.873Z","Included","auto","No","30582","0","206336","2889","239807","0.11"
"2025-09-28T14:21:40.460Z","Included","auto","No","25738","0","120873","1470","148081","0.07"
"2025-09-28T14:19:36.265Z","Included","auto","No","25938","0","126720","3209","155867","0.08"
"2025-09-28T14:15:50.113Z","Included","auto","No","2171","0","20736","168","23075","0.01"
"2025-09-28T14:14:42.733Z","Included","auto","No","3527","0","41216","1128","45871","0.02"
"2025-09-28T14:12:12.293Z","Included","auto","No","51526","0","114688","3208","169422","0.11"
"2025-09-28T14:09:31.602Z","Included","auto","No","3199","0","36352","1087","40638","0.02"
"2025-09-28T14:08:15.543Z","Included","auto","No","4196","0","39680","1256","45132","0.02"
"2025-09-28T14:07:19.663Z","Included","auto","No","3289","0","51200","1111","55600","0.02"
"2025-09-28T14:02:19.108Z","Included","auto","No","9159","0","34560","1124","44843","0.03"
"2025-09-28T12:56:42.697Z","Included","auto","No","31251","0","606208","881","638340","0.20"
"2025-09-28T12:53:51.132Z","Included","auto","No","52002","0","117760","2666","172428","0.11"
"2025-09-27T15:01:20.697Z","Included","auto","No","0","1653","0","13","1666","0.002"
"2025-09-25T16:03:29.014Z","Included","auto","No","8782","0","150272","2630","161684","0.06"
"2025-09-25T16:02:42.787Z","Included","auto","No","8084","0","24320","279","32683","0.02"
"2025-09-25T15:58:05.742Z","Included","auto","No","10011","0","26368","416","36795","0.02"
"2025-09-25T15:50:05.082Z","Included","auto","No","8782","0","36864","561","46207","0.02"
"2025-09-25T15:48:08.674Z","Included","auto","No","12258","0","56832","2957","72047","0.05"
"2025-09-25T15:44:30.184Z","Included","auto","No","19509","0","274176","2863","296548","0.11"
"2025-09-23T16:07:39.439Z","Included","auto","No","6136","0","54528","2115","62779","0.03"
"2025-09-23T15:59:35.578Z","Included","auto","No","7092","0","107776","129","114997","0.04"
"2025-09-23T15:50:35.320Z","Included","auto","No","73010","0","244736","2404","320150","0.17"
"2025-09-23T15:49:13.115Z","Included","auto","No","48886","0","61440","1805","112131","0.09"
"2025-09-23T15:23:04.694Z","Included","auto","No","18715","0","140288","3470","162473","0.08"
"2025-09-23T15:19:38.919Z","Included","auto","No","24671","0","404224","3452","432347","0.15"
"2025-09-23T15:19:33.089Z","Included","auto","No","29432","0","547072","3478","579982","0.19"
"2025-09-23T15:19:15.525Z","Included","auto","No","23125","0","323328","3155","349608","0.13"
"2025-09-23T15:17:39.614Z","Included","auto","No","22556","0","228352","4009","254917","0.11"
"2025-09-23T15:15:25.103Z","Included","auto","No","21811","0","286725","4076","312612","0.12"
"2025-09-23T15:14:45.497Z","Included","auto","No","26907","0","253440","10545","290892","0.16"
"2025-09-23T15:14:14.022Z","Included","auto","No","24014","0","164289","5560","193863","0.10"
"2025-09-23T15:12:57.775Z","Included","auto","No","30558","0","340736","6214","377508","0.16"
"2025-09-23T14:58:48.113Z","Included","auto","No","30323","0","428288","3700","462311","0.17"
"2025-09-23T14:57:54.901Z","Included","auto","No","36477","0","271104","4881","312462","0.14"
"2025-09-23T14:52:15.275Z","Included","auto","No","6068","0","21504","140","27712","0.01"
"2025-09-23T14:48:21.611Z","Included","auto","No","52792","0","347117","4679","404588","0.18"
"2025-09-23T14:38:57.688Z","Included","auto","No","42622","0","395776","4181","442579","0.18"
"2025-09-22T15:07:06.782Z","Included","auto","No","700","0","22974","226","23900","0.01"
"2025-09-22T15:06:27.527Z","Included","auto","No","719","0","21574","210","22503","0.01"
